dis_doid	dis_name	numgenes_AlteredExpression	numgenes_Biomarker	numgenes_GenomicAlterations	numgenes_PosttranslationalModification	numgenes_Therapeutic	numgenes_dir	numgenes_prop
DOID:0110434	dilated cardiomyopathy 1Z	104	1	1	1	7	512	110
DOID:1618	breast fibroadenoma	86	2	19	5	0	197	109
DOID:4830	adenosquamous carcinoma	37	64	23	4	0	101	109
DOID:0110881	holoprosencephaly 1	14	73	48	0	0	149	109
DOID:0111147	angioimmunoblastic T-cell lymphoma	34	63	40	1	0	109	109
DOID:10548	cardia cancer	17	52	41	5	0	26	108
DOID:4308	polyradiculoneuropathy	23	75	23	0	0	8	108
DOID:11613	hyperandrogenism	25	68	44	1	0	108	108
DOID:4468	clear cell adenocarcinoma	52	58	2	2	0	117	107
DOID:12098	trigeminal neuralgia	17	76	13	10	0	107	107
DOID:4454	childhood kidney cell carcinoma	24	56	33	3	0	107	107
DOID:4501	orofaciodigital syndrome	14	70	43	0	0	19	107
DOID:811	lipodystrophy	41	22	64	2	0	232	107
DOID:10140	dry eye syndrome	18	69	24	0	1	158	106
DOID:5773	oral submucous fibrosis	36	63	30	2	0	106	106
DOID:8515	Cor pulmonale	77	28	5	2	0	25	106
DOID:9201	lichen planus	56	54	10	0	0	106	106
DOID:10348	blepharophimosis	1	96	19	0	0	122	106
DOID:11713	diabetic angiopathy	25	71	17	0	5	106	106
DOID:1063	interstitial nephritis	12	76	35	1	0	161	106
DOID:0110272	cataract 40	10	48	79	0	0	114	105
DOID:0110262	cataract 45	10	48	79	0	0	105	105
DOID:0110258	cataract 10 multiple types	10	48	79	0	0	105	105
DOID:0110259	cataract 43	10	48	79	0	0	106	105
DOID:0110260	cataract 7	10	48	79	0	0	107	105
DOID:0110261	cataract 35	10	48	79	0	0	105	105
DOID:0110257	cataract 24	10	48	79	0	0	106	105
DOID:0110264	cataract 33	10	48	79	0	0	105	105
DOID:0110263	cataract 19 multiple types	10	48	79	0	0	105	105
DOID:0110265	cataract 31 multiple types	10	48	79	0	0	106	105
DOID:0110266	cataract 9 multiple types	10	48	79	0	0	107	105
DOID:999	hypereosinophilic syndrome	35	66	23	0	2	328	105
DOID:0110269	cataract 3 multiple types	10	48	79	0	0	108	105
DOID:0110270	cataract 17 multiple types	10	48	79	0	0	105	105
DOID:0110271	cataract 23	10	48	79	0	0	105	105
DOID:0110268	cataract 22 multiple types	10	48	79	0	0	105	105
DOID:12712	nephronophthisis	9	68	64	0	0	102	105
DOID:0110241	cataract 41	10	48	79	0	0	106	105
DOID:0110228	cataract 8 multiple types	10	48	79	0	0	105	105
DOID:0110246	cataract 26 multiple types	10	48	79	0	0	105	105
DOID:0060888	transient myeloproliferative syndrome	31	68	16	0	0	105	105
DOID:0110245	cataract 38	10	48	79	0	0	105	105
DOID:0110243	cataract 46 juvenile-onset	10	48	79	0	0	106	105
DOID:0110242	cataract 13 with adult i phenotype	10	48	79	0	0	105	105
DOID:0110230	cataract 34 multiple types	10	48	79	0	0	105	105
DOID:0110231	cataract 1 multiple types	10	48	79	0	0	105	105
DOID:0110227	cataract 32 multiple types	10	48	79	0	0	223	105
DOID:0110233	cataract 27	10	48	79	0	0	105	105
DOID:0110240	cataract 20 multiple types	10	48	79	0	0	105	105
DOID:0110239	cataract 12 multiple types	10	48	79	0	0	106	105
DOID:0110238	cataract 18	10	48	79	0	0	105	105
DOID:0110237	cataract 42	10	48	79	0	0	105	105
DOID:0110236	cataract 39 multiple types	10	48	79	0	0	105	105
DOID:0110235	cataract 2 multiple types	10	48	79	0	0	115	105
DOID:0110248	cataract 30	10	48	79	0	0	116	105
DOID:0110229	cataract 6 multiple types	10	48	79	0	0	105	105
DOID:0110251	cataract 15 multiple types	10	48	79	0	0	105	105
DOID:0110252	cataract 37	10	48	79	0	0	105	105
DOID:0110256	cataract 21 multiple types	10	48	79	0	0	105	105
DOID:0110255	cataract 5 multiple types	10	48	79	0	0	159	105
DOID:0110254	cataract 25	10	48	79	0	0	105	105
DOID:0110253	cataract 14 multiple types	10	48	79	0	0	105	105
DOID:12594	Potter's syndrome	1	103	1	0	0	122	105
DOID:0110249	cataract 11 multiple types	10	48	79	0	0	105	105
DOID:3883	Lynch syndrome	14	56	67	8	0	181	105
DOID:1540	parathyroid carcinoma	53	46	30	3	0	155	104
DOID:0050127	sinusitis	33	68	8	0	0	97	104
DOID:12971	hereditary spherocytosis	35	54	35	0	0	53	104
DOID:7608	parathyroid adenoma	53	46	30	3	0	195	104
DOID:13911	achromatopsia	1	97	17	0	0	109	104
DOID:0060548	luminal breast carcinoma	47	53	15	2	0	206	104
DOID:0060676	catecholaminergic polymorphic ventricular tachycardia 2	9	73	37	0	2	104	104
DOID:9574	choanal atresia	1	101	8	0	0	104	104
DOID:1827	idiopathic generalized epilepsy	4	51	75	0	0	149	104
DOID:4977	lymphedema	10	80	30	4	0	61	104
DOID:0060448	Fleck corneal dystrophy	28	62	30	1	0	104	104
DOID:841	extrinsic allergic alveolitis	22	68	19	1	0	65	104
DOID:9255	frontotemporal dementia	75	34	23	2	0	320	104
DOID:1928	Williams-Beuren syndrome	12	76	43	1	0	104	104
DOID:118	pericardial effusion	26	70	15	0	0	98	104
DOID:121	vaginal disease	24	74	24	0	2	2	103
DOID:10937	impulse control disorder	23	58	41	8	0	67	103
DOID:1996	rectum adenocarcinoma	41	54	18	0	0	103	103
DOID:13544	low tension glaucoma	8	53	56	0	0	103	103
DOID:8677	perinatal necrotizing enterocolitis	18	74	19	2	6	103	103
DOID:9282	ocular hypertension	13	82	14	0	2	103	103
DOID:1405	primary angle-closure glaucoma	20	42	51	0	0	87	103
DOID:10690	mastitis	25	74	16	0	0	103	103
DOID:9857	interstitial keratitis	4	99	6	0	0	15	102
DOID:2006	preretinal fibrosis	47	66	9	0	0	102	102
DOID:12297	Vogt-Koyanagi-Harada disease	9	46	61	0	0	102	102
DOID:11077	brucellosis	23	60	40	0	0	92	102
DOID:5212	congenital disorder of glycosylation	14	70	57	0	0	102	102
DOID:0050954	spinocerebellar ataxia type 1	17	78	20	0	1	102	102
DOID:9111	cutaneous leishmaniasis	31	69	31	1	1	102	102
DOID:5602	T-cell adult acute lymphocytic leukemia	23	60	34	0	0	102	102
DOID:5338	gingival hypertrophy	1	98	4	0	0	108	101
DOID:11771	spontaneous ocular nystagmus	2	1	100	0	0	833	101
DOID:4505	pediatric angiosarcoma	42	53	20	2	0	101	101
DOID:8557	oropharynx cancer	49	60	8	6	0	115	101
DOID:2347	generalized atherosclerosis	19	51	40	0	0	101	101
DOID:13413	hepatic encephalopathy	11	82	17	1	1	100	100
DOID:0111532	error	46	58	8	0	0	100	100
DOID:2744	pyelitis	20	68	39	3	0	143	100
DOID:3016	breast malignant phyllodes tumor	37	63	24	2	0	106	100
DOID:12550	hepatic coma	11	82	17	1	1	101	100
DOID:1631	benign breast phyllodes tumor	37	63	24	2	0	132	100
DOID:0060192	Crohn's colitis	19	75	10	6	2	1395	100
DOID:705	Leber hereditary optic neuropathy	14	39	64	0	0	100	100
DOID:13533	osteopetrosis	18	74	31	0	0	150	100
DOID:2565	macular corneal dystrophy	39	50	23	0	0	102	100
DOID:0040084	Streptococcus pneumonia	20	72	14	0	0	100	100
DOID:9976	heroin dependence	13	37	71	0	0	100	100
DOID:0070227	error	34	57	27	4	0	100	100
DOID:10541	microinvasive gastric cancer	40	52	13	2	0	100	100
DOID:12176	goiter	40	46	38	1	0	156	100
DOID:10113	trypanosomiasis	33	20	54	3	1	278	100
DOID:11400	pyelonephritis	20	68	39	3	0	161	100
DOID:12337	varicocele	37	60	17	0	0	99	99
DOID:591	phobic disorder	3	52	51	4	4	854	99
DOID:1417	choroid disease	21	64	34	0	0	1	99
DOID:0080146	B-cell childhood acute lymphoblastic leukemia	30	55	24	0	0	99	99
DOID:11984	hypertrophic cardiomyopathy	41	20	62	4	2	582	99
DOID:3911	progeria	28	72	1	5	0	119	98
DOID:11482	hemopericardium	25	67	12	0	0	98	98
DOID:10154	small intestine cancer	31	49	40	7	0	11	98
DOID:4658	benign mastocytoma	35	52	29	0	0	118	98
DOID:4659	extracutaneous mastocytoma	35	52	29	0	0	118	98
DOID:0090020	split hand-foot malformation	19	67	46	1	0	36	98
DOID:4223	pyoderma	18	64	33	0	0	7	98
DOID:5165	uterine corpus sarcoma	18	70	16	1	0	30	98
DOID:9669	senile cataract	25	48	47	2	0	92	96
DOID:8538	reticulosarcoma	27	50	10	19	3	763	96
DOID:693	dental enamel hypoplasia	2	73	25	1	0	72	96
DOID:4123	nail disease	2	88	15	0	0	6	95
DOID:420	hypertrichosis	3	76	25	0	0	173	95
DOID:9169	Wiskott-Aldrich syndrome	23	63	26	1	0	95	95
DOID:0070314	error	23	68	2	8	0	95	95
DOID:3426	vestibular disease	14	52	42	0	0	12	95
DOID:10935	dissociative disorder	49	15	28	2	10	29	95
DOID:0080531	error	26	58	22	1	3	95	95
DOID:11914	gastroparesis	18	66	15	0	1	95	95
DOID:12531	von Willebrand's disease	21	45	55	0	0	62	95
DOID:11554	Chandler syndrome	16	55	36	1	0	96	94
DOID:6543	acne	25	50	32	1	0	179	94
DOID:13641	exfoliation syndrome	19	54	38	1	0	94	94
DOID:11661	blue color blindness	0	90	8	0	0	111	94
DOID:1586	rheumatic fever	26	54	35	0	0	94	94
DOID:11555	Fuchs' endothelial dystrophy	16	55	36	1	0	98	94
DOID:0111136	congenital generalized lipodystrophy type 2	40	4	60	2	0	229	94
DOID:10887	lepromatous leprosy	27	59	20	0	0	94	94
DOID:0111135	congenital generalized lipodystrophy type 1	40	4	60	2	0	228	94
DOID:13912	acquired color blindness	0	90	8	0	0	94	94
DOID:7400	Nijmegen breakage syndrome	25	48	45	3	0	94	94
DOID:0060170	generalized epilepsy with febrile seizures plus	4	42	66	0	0	100	94
DOID:4798	aggressive systemic mastocytosis	26	57	38	0	0	100	94
DOID:9423	blepharitis	14	75	5	0	0	55	93
DOID:2228	thrombocytosis	26	70	21	0	0	93	93
DOID:9477	pulmonary embolism	3	76	15	0	6	128	93
DOID:573	nerve compression syndrome	18	36	45	0	1	9	93
DOID:9470	bacterial meningitis	23	57	23	0	0	85	93
DOID:1984	rectal neoplasm	30	43	33	3	0	93	93
DOID:11252	microcytic anemia	22	61	25	0	0	51	93
DOID:2799	bronchiolitis obliterans	27	61	15	0	1	93	93
DOID:11847	coronary thrombosis	2	12	9	18	57	2066	93
DOID:0050905	inflammatory myofibroblastic tumor	21	54	39	0	0	92	92
DOID:12347	osteogenesis imperfecta	17	57	57	0	0	90	92
DOID:14499	Fabry disease	24	71	2	0	0	108	92
DOID:13099	Moyamoya disease	16	42	51	0	0	120	92
DOID:13268	porphyria	48	52	18	2	1	26	92
DOID:0050889	non-syndromic intellectual disability	17	70	66	0	0	2	92
DOID:1795	tumor of exocrine pancreas	34	47	23	4	0	9	92
DOID:782	renal infectious disease	6	75	20	0	0	98	92
DOID:13543	hyperparathyroidism	28	67	29	0	2	116	92
DOID:3534	Lafora disease	22	59	33	2	0	92	92
DOID:9191	diabetic macular edema	19	70	17	0	0	92	92
DOID:0110443	dilated cardiomyopathy 1B	2	17	72	1	7	534	91
DOID:397	restrictive cardiomyopathy	35	42	18	1	3	42	91
DOID:5078	ganglioglioma	31	32	38	2	0	91	91
DOID:176	cardiovascular cancer	22	58	25	1	0	1	91
DOID:1271	capillary disease	25	55	25	2	0	61	91
DOID:2999	granulosa cell tumor	46	50	18	0	0	88	91
DOID:3702	cervical adenocarcinoma	38	41	17	7	0	82	91
DOID:8805	intermediate coronary syndrome	60	2	31	0	1	129	91
DOID:2361	macrocytic anemia	14	64	31	0	0	51	91
DOID:13809	familial combined hyperlipidemia	23	59	46	0	0	91	91
DOID:3817	cranial nerve palsy	2	86	5	0	0	86	91
DOID:0110334	osteogenesis imperfecta type 1	16	54	50	0	0	90	90
DOID:0110346	osteogenesis imperfecta type 10	16	54	50	0	0	90	90
DOID:0110343	osteogenesis imperfecta type 14	16	54	50	0	0	90	90
DOID:0110342	osteogenesis imperfecta type 13	16	54	50	0	0	90	90
DOID:0110338	osteogenesis imperfecta type 17	16	54	50	0	0	90	90
DOID:0110335	osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures	16	54	50	0	0	90	90
DOID:0110349	osteogenesis imperfecta type 9	16	54	50	0	0	91	90
DOID:0110351	osteogenesis imperfecta type 11	16	54	50	0	0	90	90
DOID:0110347	osteogenesis imperfecta type 15	16	54	50	0	0	90	90
DOID:0090018	autosomal dominant familial periodic fever	28	55	23	0	0	90	90
DOID:12895	keratoconjunctivitis sicca	17	67	9	0	0	90	90
DOID:0110348	osteogenesis imperfecta type 12	16	54	50	0	0	90	90
DOID:11269	chronic apical periodontitis	42	46	13	4	0	93	90
DOID:0110345	osteogenesis imperfecta type 16	16	54	50	0	0	90	90
DOID:0050757	deafness dystonia syndrome	29	34	35	0	0	89	89
DOID:971	tendinitis	22	56	30	1	0	176	89
DOID:4907	small intestine carcinoma	29	47	36	5	0	17	89
DOID:3650	lactic acidosis	2	83	2	0	2	304	89
DOID:1825	childhood absence epilepsy	6	64	35	0	4	89	89
DOID:12217	Lewy body dementia	83	1	4	5	0	258	89
DOID:0070309	error	6	64	35	0	4	89	89
DOID:4817	ganglioneuroma	51	36	4	5	0	88	88
DOID:2426	gangliocytoma	51	36	4	5	0	88	88
DOID:2860	hemoglobinopathy	11	52	42	0	0	82	88
DOID:12705	Friedreich ataxia	17	53	27	3	0	112	88
DOID:321	tropical spastic paraparesis	20	58	23	0	0	88	88
DOID:0111343	error	47	54	1	1	0	118	88
DOID:13619	extrahepatic cholestasis	9	72	1	0	7	87	87
DOID:12889	Miller Fisher syndrome	55	4	34	0	0	163	87
DOID:13353	diffuse interstitial keratitis	1	86	6	0	0	87	87
DOID:0060216	Cogan syndrome	1	86	6	0	0	90	87
DOID:0110030	alpha thalassemia-X-linked intellectual disability syndrome	19	41	56	2	0	120	87
DOID:2170	vaginitis	23	62	22	0	0	12	87
DOID:10966	lipoid nephrosis	21	51	30	0	6	448	87
DOID:1099	alpha thalassemia	19	41	56	2	0	86	87
DOID:4556	lung large cell carcinoma	26	29	38	2	0	67	87
DOID:10247	pleurisy	13	67	13	0	2	94	87
DOID:12169	carpal tunnel syndrome	16	33	44	0	0	87	87
DOID:3371	chondrosarcoma	30	42	28	7	0	385	86
DOID:0110029	alpha thalassemia-intellectual disability syndrome type 1	19	41	56	0	0	87	86
DOID:0060466	gingival fibromatosis	37	53	11	0	0	92	86
DOID:11294	arteriovenous malformation	24	47	29	3	0	76	86
DOID:0110031	hemoglobin H disease	19	41	56	0	0	90	86
DOID:0060046	aphasia	3	73	17	0	1	86	86
DOID:14654	prostatitis	24	64	4	0	1	86	86
DOID:0080011	bone resorption disease	6	76	5	1	7	10	86
DOID:3326	purpura	9	67	13	0	6	68	86
DOID:14557	primary pulmonary hypertension	77	7	1	2	0	816	86
DOID:2741	bilirubin metabolic disorder	25	29	63	1	1	131	85
DOID:4843	subependymal glioma	15	38	10	36	0	13	85
DOID:10376	amblyopia	0	64	23	0	0	85	85
DOID:10375	suppression amblyopia	0	64	23	0	0	85	85
DOID:13909	red-green color blindness	35	52	3	0	0	197	85
DOID:13976	peptic esophagitis	24	47	23	2	1	506	85
DOID:6270	gastric cardia carcinoma	15	30	38	5	0	24	85
DOID:8534	gastroesophageal reflux disease	24	47	23	2	1	506	85
DOID:7575	pancreatic intraductal papillary-mucinous neoplasm	34	43	20	4	0	84	85
DOID:12028	Conn's syndrome	23	62	24	0	0	133	84
DOID:11759	hypochromic anemia	17	57	27	1	0	98	84
DOID:0080205	CAKUT	11	52	40	0	0	72	84
DOID:8337	appendicitis	23	54	14	0	0	83	83
DOID:11836	clubfoot	9	70	5	0	0	337	83
DOID:13359	Ehlers-Danlos syndrome	13	57	43	1	0	77	83
DOID:8866	actinic keratosis	57	1	30	1	0	191	83
DOID:9281	phenylketonuria	17	51	24	2	0	85	83
DOID:11037	dissociative amnesia	48	7	24	1	10	173	82
DOID:0070189	error	37	31	19	0	0	82	82
DOID:5213	chronic inflammatory demyelinating polyradiculoneuropathy	20	51	19	0	0	82	82
DOID:0050457	Sertoli cell-only syndrome	37	31	19	0	0	82	82
DOID:0050439	Usher syndrome	5	56	40	0	0	81	82
DOID:3587	pancreatic ductal carcinoma	27	58	5	1	1	82	82
DOID:13316	exocrine pancreatic insufficiency	8	67	17	0	0	82	82
DOID:0110946	autosomal recessive osteopetrosis 7	8	64	21	0	0	146	82
DOID:0050524	maturity-onset diabetes of the young	11	22	75	1	0	105	82
DOID:4554	type C thymoma	33	38	20	4	0	82	82
DOID:8781	rubella	5	58	28	0	0	82	82
DOID:2536	chronic inflammatory demyelinating polyneuritis	20	51	19	0	0	82	82
DOID:0050709	early infantile epileptic encephalopathy	21	39	30	2	0	81	81
DOID:12140	Chagas disease	31	5	50	3	0	203	81
DOID:4398	pustulosis of palm and sole	5	63	10	9	1	1310	81
DOID:13406	pulmonary sarcoidosis	37	47	13	0	0	81	81
DOID:2862	glucosephosphate dehydrogenase deficiency	10	30	49	0	0	75	81
DOID:5940	malignant peripheral nerve sheath tumor	19	52	20	1	1	394	81
DOID:14018	alcoholic liver cirrhosis	1	78	3	0	0	127	81
DOID:0111275	error	14	47	25	0	0	80	80
DOID:14270	ascending cholangitis	24	55	5	0	2	80	80
DOID:3071	gliosarcoma	10	47	28	1	3	80	80
DOID:2859	hemoglobin C disease	10	48	36	0	0	82	80
DOID:5379	hemoglobin E disease	10	48	36	0	0	82	80
DOID:5378	hemoglobin D disease	10	48	36	0	0	82	80
DOID:3687	MELAS syndrome	7	44	50	0	0	80	80
DOID:2772	irritant dermatitis	12	65	5	0	1	29	80
DOID:0050836	focal dystonia	1	61	36	0	0	21	80
DOID:3753	Hermansky-Pudlak syndrome	2	67	34	0	0	70	79
DOID:4330	non-Langerhans-cell histiocytosis	19	42	33	1	1	9	79
DOID:5363	myxoid liposarcoma	35	40	26	0	0	79	79
DOID:2365	West Nile encephalitis	14	63	10	1	0	79	79
DOID:3450	cutaneous Paget's disease	38	44	5	4	0	79	79
DOID:8791	breast carcinoma in situ	30	30	25	1	0	41	79
DOID:1591	renovascular hypertension	19	53	13	0	6	78	78
DOID:0060306	Meier-Gorlin syndrome	17	51	25	0	0	78	78
DOID:1142	alternating exotropia	1	59	20	0	0	79	78
DOID:0050958	spinocerebellar ataxia type 7	10	65	11	1	1	78	78
DOID:670	amphetamine abuse	0	74	3	0	1	80	78
DOID:11853	monocular exotropia	1	59	20	0	0	78	78
DOID:4916	pituitary carcinoma	67	9	5	4	1	137	78
DOID:1143	exotropia	1	59	20	0	0	78	78
DOID:461	muscle benign neoplasm	38	45	11	1	0	25	77
DOID:5077	subependymal giant cell astrocytoma	12	33	8	36	0	993	77
DOID:12783	migraine without aura	2	30	58	0	0	77	77
DOID:13133	HELLP syndrome	26	35	30	0	0	77	77
DOID:3507	dermatofibrosarcoma protuberans	41	38	8	1	0	80	77
DOID:11476	osteoporosis	5	69	5	1	3	1153	77
DOID:0080087	nonsyndromic congenital nail disorder 9	1	70	8	0	0	77	77
DOID:14256	adult-onset Still's disease	39	38	17	1	0	76	76
DOID:0050955	spinocerebellar ataxia type 2	5	62	20	1	1	76	76
DOID:9768	heart aneurysm	11	31	40	0	0	1	76
DOID:11573	listeriosis	13	65	3	0	0	76	76
DOID:0060889	prune belly syndrome	40	43	1	0	0	83	76
DOID:6406	double outlet right ventricle	11	50	22	0	0	137	76
DOID:3012	Li-Fraumeni syndrome	15	35	40	1	0	76	76
DOID:0080073	spina bifida occulta	0	71	5	0	0	76	76
DOID:2634	cystadenoma	46	26	9	1	0	75	75
DOID:9254	mast-cell leukemia	33	27	24	4	0	75	75
DOID:9498	pulmonary eosinophilia	26	52	11	0	2	70	75
DOID:0060000	infective endocarditis	13	48	20	0	1	62	75
DOID:3149	keratoacanthoma	44	23	19	1	0	74	75
DOID:3362	coronary aneurysm	11	30	40	0	0	75	75
DOID:906	peroxisomal disease	10	56	34	3	1	25	75
DOID:5683	hereditary breast ovarian cancer syndrome	3	23	60	3	0	74	74
DOID:0060655	autosomal recessive congenital ichthyosis	30	36	33	0	0	43	74
DOID:4890	juvenile myoclonic epilepsy	4	34	50	2	0	74	74
DOID:2512	nevoid basal cell carcinoma syndrome	21	35	26	0	0	74	74
DOID:1260	parametritis	10	47	25	0	1	74	74
DOID:0060592	B-cell adult acute lymphocytic leukemia	28	37	24	0	0	74	74
DOID:1003	pelvic inflammatory disease	10	47	25	0	1	74	74
DOID:0050661	vitelliform macular dystrophy	25	31	29	0	0	118	74
DOID:5119	ovarian cyst	10	59	9	0	0	74	74
DOID:13372	alpha 1-antitrypsin deficiency	17	34	34	1	0	73	73
DOID:11168	anogenital venereal wart	32	36	11	0	0	73	73
DOID:14402	critical illness polyneuropathy	13	2	60	0	1	156	73
DOID:175	vascular cancer	18	47	22	0	0	83	73
DOID:3385	bacterial vaginosis	21	48	22	0	0	73	73
DOID:4411	hepatitis E	8	54	23	0	0	72	72
DOID:0050156	idiopathic pulmonary fibrosis	13	44	6	9	4	824	72
DOID:12271	aniridia	7	68	1	0	0	83	72
DOID:2340	craniosynostosis	9	47	24	2	0	597	72
DOID:2047	hepatitis D	13	58	8	0	0	72	72
DOID:0060135	apraxia	2	59	21	0	0	71	72
DOID:0110734	neurodegeneration with brain iron accumulation	10	58	27	0	0	40	72
DOID:11156	anhidrosis	3	66	9	0	0	94	72
DOID:3044	food allergy	3	58	15	1	0	9	71
DOID:2703	synovitis	61	7	6	0	1	198	71
DOID:12129	bulimia nervosa	8	39	45	3	0	117	71
DOID:11615	penile cancer	34	37	20	7	0	39	71
DOID:308	early myoclonic encephalopathy	3	23	51	0	1	71	71
DOID:7843	female breast carcinoma	13	33	37	2	0	71	71
DOID:5289	uterus leiomyosarcoma	12	51	12	0	0	71	71
DOID:2121	error	6	58	30	0	0	71	71
DOID:12960	acrocephalosyndactylia	13	37	39	0	0	20	71
DOID:3449	penis carcinoma	34	36	20	6	0	49	71
DOID:0090021	split hand-foot malformation 1	15	46	38	0	0	78	71
DOID:0110234	cataract 4 multiple types	15	50	11	0	0	170	71
DOID:0050651	atrioventricular septal defect	18	47	21	0	0	128	71
DOID:11155	hypohidrosis	3	65	8	0	0	93	71
DOID:14110	anus cancer	18	42	27	1	1	34	70
DOID:3493	signet ring cell adenocarcinoma	27	36	17	0	0	70	70
DOID:0090070	hypogonadotropic hypogonadism	4	58	18	1	5	302	70
DOID:2664	sweat gland neoplasm	27	40	17	1	0	4	70
DOID:3025	acinar cell carcinoma	22	35	30	2	0	65	70
DOID:9810	polyarteritis nodosa	27	36	12	0	0	70	70
DOID:11432	endometriosis of ovary	28	31	12	5	0	323	70
DOID:6811	juvenile pilocytic astrocytoma	3	33	4	36	0	990	70
DOID:3133	acute porphyria	45	32	9	2	1	9	70
DOID:0050632	oculocutaneous albinism	12	38	40	0	0	78	70
DOID:2034	encephalomalacia	8	49	17	0	0	8	70
DOID:13206	nodular prostate	13	15	3	35	8	781	70
DOID:0110845	xeroderma pigmentosum group D	8	39	36	1	0	176	70
DOID:9598	fasciitis	29	27	24	0	1	25	70
DOID:0080149	adult acute monocytic leukemia	22	33	19	0	0	70	70
DOID:9849	Meniere's disease	6	32	41	0	0	77	69
DOID:3490	Noonan syndrome	1	53	20	6	0	533	69
DOID:2253	cervix disease	30	31	14	4	0	43	69
DOID:9848	endolymphatic hydrops	6	32	41	0	0	77	69
DOID:6929	retinal edema	7	52	18	0	0	35	69
DOID:3635	congenital myasthenic syndrome	10	50	45	0	1	57	69
DOID:0050336	hypophosphatemia	22	47	18	0	0	69	69
DOID:12305	Bloch-Sulzberger syndrome	11	45	17	1	0	103	68
DOID:496	spindle cell hemangioma	31	30	14	0	0	68	68
DOID:12466	secondary hyperparathyroidism	21	52	12	0	2	68	68
DOID:0060189	ileitis	13	31	6	12	15	1216	68
DOID:0060190	ileocolitis	13	31	6	12	15	1233	68
DOID:1911	endodermal sinus tumor	31	43	12	1	0	68	68
DOID:0060784	ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 1	58	7	8	1	0	134	67
DOID:13948	bladder neck obstruction	17	41	6	1	5	67	67
DOID:0060368	autosomal recessive juvenile Parkinson's disease 2	5	43	22	1	8	67	67
DOID:0050144	Kartagener syndrome	3	40	51	0	0	69	67
DOID:2988	antiphospholipid syndrome	11	47	33	1	0	132	67
DOID:0080089	tubular aggregate myopathy	20	43	9	0	0	67	67
DOID:0060783	ectrodactyly, ectodermal dysplasia, and cleft lip-palate syndrome 3	58	7	8	1	0	134	67
DOID:12156	arachnoiditis	43	4	27	1	0	192	67
DOID:8651	Hodgkin's granuloma	21	30	5	16	2	914	67
DOID:0060782	EEC syndrome	58	7	8	1	0	134	67
DOID:0060283	peeling skin syndrome	19	34	20	0	0	68	67
DOID:12400	kleptomania	18	40	19	0	0	67	67
DOID:401	multidrug-resistant tuberculosis	10	46	21	1	0	67	67
DOID:6193	epithelioid sarcoma	26	47	4	1	3	66	67
DOID:13564	aspergillosis	13	41	29	0	0	49	67
DOID:2598	laryngeal benign neoplasm	19	38	14	2	0	49	66
DOID:0080210	primary mediastinal B-cell lymphoma	29	36	14	1	0	66	66
DOID:13603	obstructive jaundice	28	33	6	0	2	66	66
DOID:7371	superficial urinary bladder cancer	24	24	24	2	0	66	66
DOID:3457	invasive lobular carcinoma	26	27	17	1	0	66	66
DOID:3443	mammary Paget's disease	16	39	25	0	0	66	66
DOID:7319	axonal neuropathy	7	29	47	0	0	59	66
DOID:8838	Hodgkin's lymphoma, nodular sclerosis	15	21	36	0	0	66	66
DOID:3847	papillary craniopharyngioma	9	42	19	1	0	121	66
DOID:452	pleomorphic adenoma	18	42	14	3	0	235	66
DOID:8736	smallpox	8	48	12	1	0	39	66
DOID:6271	gastric cardia adenocarcinoma	11	23	29	5	0	65	65
DOID:0110776	hereditary spastic paraplegia 25	6	62	1	1	0	124	65
DOID:6726	fibrillary astrocytoma	3	27	6	36	0	985	65
DOID:10021	duodenum cancer	19	31	23	3	0	11	65
DOID:1788	peritoneal mesothelioma	20	30	27	0	0	65	65
DOID:12144	low compliance bladder	13	47	5	0	5	65	65
DOID:10629	microphthalmia	54	3	9	1	0	374	65
DOID:10324	anthracosilicosis	14	14	40	1	0	68	65
DOID:0050459	hyperphosphatemia	15	49	10	0	0	65	65
DOID:3762	cytochrome-c oxidase deficiency disease	7	42	44	0	0	65	65
DOID:10327	anthracosis	14	14	40	1	0	68	65
DOID:2326	gastroenteritis	14	39	6	12	2	1288	65
DOID:5052	melioidosis	25	46	8	0	0	65	65
DOID:146	papilledema	11	29	30	0	0	35	64
DOID:203	exostosis	17	42	18	2	1	186	64
DOID:2729	dyskeratosis congenita	8	47	33	2	0	58	64
DOID:2626	choroid plexus papilloma	20	30	22	1	0	92	64
DOID:0050167	autoimmune polyendocrine syndrome type 1	15	51	17	0	0	64	64
DOID:0050474	Netherton syndrome	18	41	13	1	0	64	64
DOID:13777	epidermodysplasia verruciformis	30	29	13	0	0	64	64
DOID:0050956	spinocerebellar ataxia type 6	2	59	13	0	1	64	64
DOID:3846	adamantinous craniopharyngioma	26	33	11	1	0	103	64
DOID:0060699	familial hypocalciuric hypercalcemia	24	34	27	0	0	27	64
DOID:10459	common cold	5	52	16	0	0	98	64
DOID:11256	typhus	17	42	12	0	0	8	64
DOID:683	motor neuritis	3	26	46	0	0	95	64
DOID:0111252	error	33	1	31	6	0	230	64
DOID:0110861	autosomal recessive polycystic kidney disease	7	50	8	0	1	125	64
DOID:0080212	polycystic kidney disease 4	7	50	8	0	1	125	64
DOID:1926	Gaucher's disease	27	24	22	0	0	170	64
DOID:3315	lipoma	24	35	12	0	0	96	63
